DNA_Clean_Log_File - File name = A_Clean_File_2021-06-17062449 - AA code = 2 - AGCT only = 1
********** Tamias_COI-5P_MAFFT_Trimmed - 2021-06-17 06:24:49 **********
Species	Initial	Dereplicate	AGCT	AA	Genus_Outlier	Species_Outlier	Intraspecific	Interspecific	Barcode_Gap
amoenus	21	12	12	12	12	12	0.0666666666666667	0.00166666666666667	NO
canipes	6	6	6	6	6	6	0.00833333333333333	0.025	YES
cinereicollis	10	10	10	10	10	10	0.0116666666666667	0	NO
dorsalis	12	12	12	12	12	12	0.0216666666666667	0	NO
minimus	2	2	2	2	2	2	0.14	0.00166666666666667	NO
quadrivittatus	12	12	12	12	12	12	0.0233333333333333	0	NO
ruficaudus	2	2	2	2	2	2	0.0333333333333333	0.00166666666666667	NO
rufus	6	6	6	6	6	6	0	0.0116666666666667	YES
sibiricus	71	51	51	51	51	49	0.0216666666666667	0.115	YES
striatus	36	19	19	19	19	19	0.0216666666666667	0.00166666666666667	NO
umbrinus	11	11	11	11	11	11	0.0216666666666667	0	NO
